round,modality,class_id,acc,support
900,agent_1,0,0.9333333333333333,30
900,agent_1,1,0.9,40
900,agent_1,2,0.8611111111111112,36
900,agent_1,3,0.43902439024390244,41
900,agent_1,4,0.8,40
900,agent_1,5,0.9487179487179487,39
900,agent_1,6,0.6923076923076923,39
900,agent_1,7,0.9333333333333333,45
900,agent_1,8,0.925,40
900,agent_1,9,0.7894736842105263,38
900,agent_1,10,0.9523809523809523,42
900,agent_1,11,0.4864864864864865,37
900,agent_1,12,0.8636363636363636,22
900,agent_1,13,0.7857142857142857,14
900,agent_1,14,0.918918918918919,37
900,agent_1,15,1.0,36
900,agent_1,16,0.9473684210526315,38
900,agent_1,17,0.8409090909090909,44
900,agent_1,18,0.782608695652174,23
900,agent_1,19,0.9333333333333333,15
900,agent_1,20,0.5454545454545454,11
900,agent_1,21,0.9210526315789473,38
900,agent_1,22,0.6923076923076923,13
900,agent_1,23,0.9333333333333333,15
900,agent_1,24,0.8947368421052632,38
900,agent_1,25,0.8,25
900,agent_1,26,0.9354838709677419,31
900,agent_1,27,0.7647058823529411,34

1000,fusion,0,0.7692307692307693,39
1000,fusion,1,0.7391304347826086,46
